Stock,Annual_Return,Annual_Volatility,Sharpe_Ratio,Max_Drawdown
LLY,0.4606895050552304,0.32107852080657606,1.3725287632077707,-0.3447499891093046
AVGO,0.5634296617831873,0.41836896105488686,1.298924424060927,-0.4114967947354896
GE,0.401245782814023,0.3077479121231527,1.2388249206430304,-0.4654547864597416
NVDA,0.6629902160369698,0.5214728168370385,1.233027293612326,-0.6633509008833096
GS,0.3052504351016295,0.2742948265027527,1.0399409961119586,-0.3284012313702095
IBM,0.258652463303499,0.23681175996471748,1.0077728544353362,-0.19819087910632202
XOM,0.29118918994637083,0.2732934371023751,0.9923004109490707,-0.2050866652530321
CAT,0.2952474203684638,0.29172304048210895,0.9435230755636677,-0.3404713465138789
GOOGL,0.3055005278452668,0.3111908589963721,0.9174450970894206,-0.4432004566599598
KLAC,0.4014934995357315,0.42234956650664646,0.9032648066651394,-0.4028336868594239
ABBV,0.222270935790477,0.2247233840002815,0.9000885096596073,-0.2191548051770212
PM,0.21094618988033112,0.21339332183693416,0.8948086483523784,-0.22783183597341358
JPM,0.23637676275697242,0.24231282738242083,0.8929645413095865,-0.3877159013605855
PGR,0.23776325312508262,0.2442100650725033,0.8917046603317971,-0.29972432088432266
BRK-B,0.17286775926397752,0.17260537768352985,0.8856488790532295,-0.2657897082001194
WFC,0.2903318803007275,0.30958547207227644,0.8732059630938214,-0.3709704501755596
AXP,0.2730277145990924,0.293132662410258,0.8631849911183349,-0.31545888368878805
RTX,0.2227664210573571,0.2377587574391209,0.852824195589415,-0.3283621602883736
TJX,0.21323742716244518,0.22838196565405539,0.8461150888558081,-0.2767859856367275
MS,0.2610276627926622,0.2851470939818308,0.8452748349173784,-0.3237739174336117
COST,0.20768348718822968,0.22478473285969916,0.8349476621500516,-0.3140244777420451
GILD,0.21522106945384067,0.23613335713197198,0.8267407528735301,-0.2658983171780509
ORCL,0.3341620429239935,0.381155128086579,0.8242366946526609,-0.4036481575605524
WMT,0.18097772053217265,0.2077123678511691,0.7750030592666348,-0.25739692195438263
LRCX,0.3525819082295446,0.451018997223506,0.7374011078844446,-0.563931618610407
MU,0.3712470171305571,0.48000866739158576,0.7317514057387086,-0.5762897208735611
CB,0.1721855560629687,0.21090453334106213,0.7215850396959622,-0.19262513325710187
AAPL,0.2180438536436168,0.2812204238563223,0.7042299806247322,-0.33360510959893674
MSFT,0.20009595675746858,0.25712043464955037,0.7004342420427825,-0.37148496805276765
MAR,0.21796717263031462,0.29141896104403603,0.6793215236272838,-0.3050010162177835
CSCO,0.17166688318700776,0.224454347785461,0.675713723897096,-0.3667505656499809
EOG,0.25942455734567527,0.35869641352668696,0.6674852279443327,-0.3341953204219692
AMAT,0.3101262065015056,0.4350164186297693,0.666931623903658,-0.5513920040471922
COF,0.25356041695891446,0.3505647947336066,0.666240365454827,-0.5038221490404599
CME,0.15295068263777067,0.20171935971196694,0.6590873718199861,-0.31740377172302114
BKNG,0.22725496628707678,0.31700416532606135,0.6537925647566817,-0.3953189043802197
COP,0.23751519210500893,0.33789377222243044,0.643738387583604,-0.36295859328550645
ISRG,0.225965287778731,0.33317346238027107,0.6181923563397446,-0.49904222310802454
SO,0.132706075438666,0.18545129391234785,0.6077394935402051,-0.23278454090732284
CVX,0.1748285520606039,0.25482337736111954,0.607591633326446,-0.24948933876548662
C,0.19101635528177047,0.28837750927424877,0.5930294484898019,-0.47798891913673414
BAC,0.17871195138537962,0.27189264578538275,0.583730210601791,-0.466429253709553
AMD,0.31694791645678283,0.5234324231189789,0.5673089845817308,-0.6544994295506883
JNJ,0.11336505115349163,0.16737254650027505,0.5578277507616113,-0.18411685322046376
DE,0.17946721877477498,0.28836715313655636,0.5530006349206465,-0.33812144664075855
AEP,0.12956246289731554,0.1989546349631904,0.5506906783930228,-0.2956044279803238
KO,0.10761905766369878,0.15981474975581797,0.5482538864377194,-0.17274755084251095
MMC,0.1240888052213821,0.19168795664230576,0.5430117105145748,-0.27073631745234655
META,0.2557977067090472,0.43425640762809953,0.5429918881265793,-0.7673609222479005
TSLA,0.3384496309664978,0.611196846850911,0.5210262988221487,-0.7363221744219123
VRTX,0.1664336773911147,0.28182726172191186,0.5195866308192909,-0.29066839131480354
AON,0.1359930464199278,0.22570546257844473,0.5139133324237289,-0.25380416349588414
SCHW,0.1869742131436924,0.32568823617127185,0.5126811306008748,-0.49703463316307855
AMGN,0.13833537747288624,0.23217330395964778,0.509685547195612,-0.248599429651088
ADI,0.18133827445157957,0.32489689560810686,0.4965829979680294,-0.32197460468027533
MCD,0.10482865495731199,0.17143989364206277,0.4948011408267654,-0.17225323135747328
INTU,0.18684627518616015,0.3392100543271067,0.4918671279279568,-0.49010044366314753
DUK,0.10685778187004641,0.1795099962043642,0.48386041839788496,-0.24158868031698036
SNPS,0.2009655201912387,0.398387713337364,0.454244732286693,-0.4052529296592381
V,0.1223114157299371,0.22588776111379155,0.4529303191348975,-0.2860443290291707
SLB,0.19378168571662055,0.3849126304562711,0.45148345875431967,-0.46630972174813107
MA,0.1277762840355181,0.24193594906359886,0.44547445079022313,-0.28250349607345887
ICE,0.10912055265099091,0.20301080943597227,0.4389941249857373,-0.34317466732229707
LOW,0.1304983564769699,0.2581293231191323,0.42807363046457336,-0.33861596457974974
BLK,0.12969310626966352,0.26212088943259954,0.41848288591996957,-0.4390169546633299
MRK,0.11351732265059143,0.22866998153458476,0.4089619547918124,-0.4344340352514788
SPGI,0.10757035494728623,0.23382172596780895,0.3745176141559332,-0.39760397986127577
REGN,0.12573097135196842,0.30150240899373215,0.35068035345006626,-0.5969200917745013
AMZN,0.13169317105411782,0.35152286272977984,0.31774084390060797,-0.5614526325328265
LMT,0.08907727915118074,0.218416318440495,0.31626427752466696,-0.31788413934072723
HD,0.09201746896656401,0.2356039760819577,0.30567170454505344,-0.3472935254452277
CI,0.10642054297091626,0.28295340572119254,0.305423229491256,-0.3210261111750721
MMM,0.10217732071075825,0.27681309193460063,0.2968693429072831,-0.5407280936488852
CVS,0.10154979177707787,0.2863121555541005,0.28482825543768614,-0.5678883514871635
QCOM,0.12270633302284302,0.3835866690832124,0.26775261316644633,-0.44288421484159424
TMO,0.08980176299694258,0.2675660754990694,0.26087673060475614,-0.4095428783220986
ABT,0.07530359326359093,0.21665896819462585,0.25525642314474345,-0.3387675268232366
NEE,0.08549304804202618,0.2705757597309416,0.24205068520236972,-0.449697101561073
DHR,0.07636311970653371,0.2780888323888298,0.20268027026603347,-0.3981719888777476
UNP,0.06430114709965574,0.22566442928450142,0.19631426733986532,-0.31834638689740086
TXN,0.07759869775324893,0.30392280156823653,0.18951752700370164,-0.33411969627848737
PG,0.05170240587994706,0.17149969510102853,0.1848540072404883,-0.23772456092454575
PEP,0.04763180779761826,0.17831533328459043,0.1549603575230293,-0.3032267113940855
ELV,0.061928562641468614,0.2747479017488771,0.15260739890851588,-0.5038192963572419
INTC,0.06882853656760551,0.4583966705409083,0.10652026880995408,-0.707973251616704
UNH,0.049157671566415435,0.2953773685370855,0.0987132890743273,-0.6139086653611445
MDLZ,0.03769546371206018,0.18760378253709836,0.0943235977055043,-0.25157951927533984
ACN,0.04317780640706336,0.2608572035809503,0.08885246828106369,-0.4102144426810579
CRM,0.04752543693639235,0.3539098456840068,0.07777527885157738,-0.5861723924914848
HON,0.03404148695033232,0.21253903259074694,0.06606545056300228,-0.27130033771169454
MDT,0.031916668714823876,0.21576001661392857,0.055231126238495964,-0.45099885697852826
SBUX,0.03635791475957078,0.31079530222791163,0.052632438914971866,-0.4368290244759409
BA,0.02950703372872666,0.3677944399986841,0.025848769570199794,-0.5695976835708436
D,0.018380509064898874,0.22331425448975892,-0.007252071475694335,-0.5219992691570634
BMY,0.01033136014011383,0.2329803879445083,-0.0414998015291702,-0.47667368603747234
PFE,0.002823391336339271,0.25406994691954243,-0.06760582615896767,-0.589619883857289
ADBE,-0.018409404364144046,0.35129817356396165,-0.10933562214251238,-0.6002149800846829
ZTS,-0.010614834794831371,0.2645891535382018,-0.11570706654235982,-0.5119906882663944
UPS,-0.03757173826626184,0.2806399879663757,-0.2051444581488497,-0.5791772505438592
NKE,-0.08252151181151071,0.3439763828911615,-0.29804811292509525,-0.6853426922084925
